Time (seconds)	TX1 (dB)	TX2 (dB)	TX3 (dB)	TX4 (dB)	TX5 (dB)	TX6 (dB)	TX7 (dB)	TX8 (dB)	
0.5000	-71.2740+0.7504i	-89.6378+0.7504i	-77.2332+0.7504i	-92.2019+0.7504i	-70.9313+0.7504i	-88.8329+0.7504i	-57.0152+0.7504i	-92.3280+0.7504i
0.5167	-71.0889+0.7504i	-89.6563+0.7504i	-77.2338+0.7504i	-92.2023+0.7504i	-70.7558+0.7504i	-88.8133+0.7504i	-57.0727+0.7504i	-92.3297+0.7504i
0.5333	-70.8932+0.7504i	-89.6778+0.7504i	-77.2367+0.7504i	-92.2047+0.7504i	-70.5718+0.7504i	-88.7915+0.7504i	-57.1269+0.7504i	-92.3304+0.7504i
0.5500	-70.6860+0.7504i	-89.7070+0.7504i	-77.2408+0.7504i	-92.2077+0.7504i	-70.3829+0.7504i	-88.7699+0.7504i	-57.1798+0.7504i	-92.3301+0.7504i
0.5667	-70.4685+0.7504i	-89.7465+0.7504i	-77.2437+0.7504i	-92.2097+0.7504i	-70.1886+0.7504i	-88.7551+0.7504i	-57.2333+0.7504i	-92.3294+0.7504i
0.5833	-70.2419+0.7504i	-89.7985+0.7504i	-77.2429+0.7504i	-92.2093+0.7504i	-69.9847+0.7504i	-88.7598+0.7504i	-57.2896+0.7504i	-92.3294+0.7504i
0.6000	-70.0064+0.7504i	-89.8662+0.7504i	-77.2377+0.7504i	-92.2069+0.7504i	-69.7698+0.7504i	-88.7970+0.7504i	-57.3509+0.7504i	-92.3309+0.7504i
0.6167	-69.7621+0.7504i	-89.9531+0.7504i	-77.2311+0.7504i	-92.2041+0.7504i	-69.5451+0.7504i	-88.8824+0.7504i	-57.4189+0.7504i	-92.3335+0.7504i
0.6333	-69.5155+0.7504i	-90.0521+0.7504i	-77.2262+0.7504i	-92.2026+0.7504i	-69.3138+0.7504i	-89.0328+0.7504i	-57.4853+0.7504i	-92.3354+0.7504i
0.6500	-69.2758+0.7504i	-90.1438+0.7504i	-77.2259+0.7504i	-92.2036+0.7504i	-69.0810+0.7504i	-89.2618+0.7504i	-57.5424+0.7504i	-92.3356+0.7504i
0.6667	-69.0477+0.7504i	-90.2143+0.7504i	-77.2306+0.7504i	-92.2069+0.7504i	-68.8533+0.7504i	-89.5739+0.7504i	-57.5852+0.7504i	-92.3339+0.7504i
0.6833	-68.8254+0.7504i	-90.2719+0.7504i	-77.2391+0.7504i	-92.2118+0.7504i	-68.6389+0.7504i	-89.9743+0.7504i	-57.6156+0.7504i	-92.3308+0.7504i
0.7000	-68.5988+0.7504i	-90.3438+0.7504i	-77.2488+0.7504i	-92.2172+0.7504i	-68.4430+0.7504i	-90.4860+0.7504i	-57.6416+0.7504i	-92.3270+0.7504i
0.7167	-68.3787+0.7504i	-90.3846+0.7504i	-77.2574+0.7504i	-92.2219+0.7504i	-68.2639+0.7504i	-91.1684+0.7504i	-57.6671+0.7504i	-92.3229+0.7504i
0.7333	-68.1450+0.7504i	-90.4659+0.7504i	-77.2636+0.7504i	-92.2254+0.7504i	-68.0944+0.7504i	-92.1323+0.7504i	-57.6963+0.7504i	-92.3194+0.7504i
0.7500	-67.9044+0.7504i	-90.5704+0.7504i	-77.2673+0.7504i	-92.2277+0.7504i	-67.9313+0.7504i	-93.5582+0.7504i	-57.7334+0.7504i	-92.3178+0.7504i
0.7667	-67.6536+0.7504i	-90.7316+0.7504i	-77.2680+0.7504i	-92.2286+0.7504i	-67.7810+0.7504i	-95.7529+0.7504i	-57.7794+0.7504i	-92.3185+0.7504i
0.7833	-67.3896+0.7504i	-91.0184+0.7504i	-77.2665+0.7504i	-92.2282+0.7504i	-67.6538+0.7504i	-99.4259+0.7504i	-57.8302+0.7504i	-92.3209+0.7504i
0.8000	-67.1132+0.7504i	-91.5502+0.7504i	-77.2646+0.7504i	-92.2272+0.7504i	-67.5555+0.7504i	-107.5845+0.7504i	-57.8790+0.7504i	-92.3234+0.7504i
0.8167	-66.8297+0.7504i	-92.5177+0.7504i	-77.2646+0.7504i	-92.2268+0.7504i	-67.4811+0.7504i	-109.9137+0.7504i	-57.9210+0.7504i	-92.3247+0.7504i
0.8333	-66.5499+0.7504i	-94.2163+0.7504i	-77.2672+0.7504i	-92.2275+0.7504i	-67.4273+0.7504i	-98.8480+0.7504i	-57.9549+0.7504i	-92.3250+0.7504i
0.8500	-66.2895+0.7504i	-97.2605+0.7504i	-77.2704+0.7504i	-92.2284+0.7504i	-67.4026+0.7504i	-93.7743+0.7504i	-57.9852+0.7504i	-92.3252+0.7504i
0.8667	-66.0629+0.7504i	-103.9078+0.7504i	-77.2726+0.7504i	-92.2291+0.7504i	-67.4215+0.7504i	-90.3669+0.7504i	-58.0166+0.7504i	-92.3262+0.7504i
0.8833	-65.8802+0.7504i	-111.8904+0.7504i	-77.2751+0.7504i	-92.2305+0.7504i	-67.4891+0.7504i	-87.7662+0.7504i	-58.0484+0.7504i	-92.3272+0.7504i
0.9000	-65.7518+0.7504i	-97.6973+0.7504i	-77.2775+0.7504i	-92.2325+0.7504i	-67.5988+0.7504i	-85.6345+0.7504i	-58.0764+0.7504i	-92.3275+0.7504i
0.9167	-65.6857+0.7504i	-92.0307+0.7504i	-77.2797+0.7504i	-92.2345+0.7504i	-67.7379+0.7504i	-83.8046+0.7504i	-58.0979+0.7504i	-92.3272+0.7504i
