Time (seconds)	TX1 (dB)	TX2 (dB)	TX3 (dB)	TX4 (dB)	TX5 (dB)	TX6 (dB)	TX7 (dB)	TX8 (dB)	
5.7500	-66.7184+0.7504i	-87.0456+0.7504i	-77.0015+0.7504i	-92.3499+0.7504i	-66.0106+0.7504i	-87.6543+0.7504i	-57.8180+0.7504i	-92.3368+0.7504i
5.7667	-66.7050+0.7504i	-87.5430+0.7504i	-76.9933+0.7504i	-92.2604+0.7504i	-66.1271+0.7504i	-87.7539+0.7504i	-57.9229+0.7504i	-92.3221+0.7504i
5.7833	-66.6874+0.7504i	-87.8388+0.7504i	-76.9878+0.7504i	-92.1944+0.7504i	-66.2422+0.7504i	-87.7363+0.7504i	-58.0363+0.7504i	-92.3147+0.7504i
5.8000	-66.6554+0.7504i	-87.9009+0.7504i	-76.9814+0.7504i	-92.1449+0.7504i	-66.3474+0.7504i	-87.6278+0.7504i	-58.1630+0.7504i	-92.3169+0.7504i
5.8167	-66.6105+0.7504i	-87.7206+0.7504i	-76.9738+0.7504i	-92.1106+0.7504i	-66.4398+0.7504i	-87.4959+0.7504i	-58.3036+0.7504i	-92.3285+0.7504i
5.8333	-66.5664+0.7504i	-87.3188+0.7504i	-76.9656+0.7504i	-92.0883+0.7504i	-66.5288+0.7504i	-87.4172+0.7504i	-58.4547+0.7504i	-92.3470+0.7504i
5.8500	-66.5338+0.7504i	-86.7265+0.7504i	-76.9594+0.7504i	-92.0757+0.7504i	-66.6259+0.7504i	-87.4099+0.7504i	-58.6115+0.7504i	-92.3699+0.7504i
5.8667	-66.5196+0.7504i	-85.9962+0.7504i	-76.9558+0.7504i	-92.0693+0.7504i	-66.7343+0.7504i	-87.4291+0.7504i	-58.7687+0.7504i	-92.3947+0.7504i
5.8833	-66.5237+0.7504i	-85.1648+0.7504i	-76.9525+0.7504i	-92.0668+0.7504i	-66.8538+0.7504i	-87.4020+0.7504i	-58.9201+0.7504i	-92.4205+0.7504i
5.9000	-66.5447+0.7504i	-84.2704+0.7504i	-76.9461+0.7504i	-92.0656+0.7504i	-66.9907+0.7504i	-87.2860+0.7504i	-59.0627+0.7504i	-92.4466+0.7504i
5.9167	-66.5724+0.7504i	-83.3383+0.7504i	-76.9339+0.7504i	-92.0634+0.7504i	-67.1583+0.7504i	-87.0911+0.7504i	-59.1889+0.7504i	-92.4728+0.7504i
5.9333	-66.5836+0.7504i	-82.3396+0.7504i	-76.9140+0.7504i	-92.0579+0.7504i	-67.3641+0.7504i	-86.8816+0.7504i	-59.3197+0.7504i	-92.4941+0.7504i
5.9500	-66.5726+0.7504i	-81.2886+0.7504i	-76.8899+0.7504i	-92.0487+0.7504i	-67.6090+0.7504i	-86.6984+0.7504i	-59.3596+0.7504i	-92.5206+0.7504i
5.9667	-66.5494+0.7504i	-80.2132+0.7504i	-76.8682+0.7504i	-92.0387+0.7504i	-67.8924+0.7504i	-86.5249+0.7504i	-59.2090+0.7504i	-92.5682+0.7504i
5.9833	-66.5372+0.7504i	-79.1426+0.7504i	-76.8519+0.7504i	-92.0302+0.7504i	-68.2112+0.7504i	-86.3277+0.7504i	-58.9619+0.7504i	-92.6419+0.7504i
6.0000	-66.5570+0.7504i	-78.0940+0.7504i	-76.8386+0.7504i	-92.0229+0.7504i	-68.5452+0.7504i	-86.0670+0.7504i	-58.6766+0.7504i	-92.7462+0.7504i
6.0167	-66.6082+0.7504i	-77.0886+0.7504i	-76.8238+0.7504i	-92.0149+0.7504i	-68.8472+0.7504i	-85.7091+0.7504i	-58.3851+0.7504i	-92.9047+0.7504i
6.0333	-66.6665+0.7504i	-76.1632+0.7504i	-76.8052+0.7504i	-92.0051+0.7504i	-69.0667+0.7504i	-85.2335+0.7504i	-58.1327+0.7504i	-93.0991+0.7504i
6.0500	-66.7016+0.7504i	-75.3673+0.7504i	-76.7846+0.7504i	-91.9959+0.7504i	-69.1793+0.7504i	-84.6212+0.7504i	-57.9512+0.7504i	-93.3012+0.7504i
6.0667	-66.6999+0.7504i	-74.7481+0.7504i	-76.7669+0.7504i	-91.9848+0.7504i	-69.1981+0.7504i	-83.8276+0.7504i	-57.8390+0.7504i	-93.5084+0.7504i
6.0833	-66.6701+0.7504i	-74.3329+0.7504i	-76.7579+0.7504i	-91.9762+0.7504i	-69.1623+0.7504i	-82.8497+0.7504i	-57.7867+0.7504i	-93.7175+0.7504i
6.1000	-66.6451+0.7504i	-74.1286+0.7504i	-76.7617+0.7504i	-91.9714+0.7504i	-69.1083+0.7504i	-81.7858+0.7504i	-57.7852+0.7504i	-93.9222+0.7504i
6.1167	-66.6552+0.7504i	-74.1117+0.7504i	-76.7788+0.7504i	-91.9702+0.7504i	-69.0508+0.7504i	-80.7715+0.7504i	-57.8276+0.7504i	-94.1058+0.7504i
6.1333	-66.7191+0.7504i	-74.2359+0.7504i	-76.8062+0.7504i	-91.9715+0.7504i	-68.9895+0.7504i	-80.0218+0.7504i	-57.9043+0.7504i	-94.2425+0.7504i
6.1500	-66.8391+0.7504i	-74.4465+0.7504i	-76.8410+0.7504i	-91.9753+0.7504i	-68.9238+0.7504i	-79.3746+0.7504i	-58.0047+0.7504i	-94.3099+0.7504i
6.1667	-67.0087+0.7504i	-74.7057+0.7504i	-76.8802+0.7504i	-91.9813+0.7504i	-68.8605+0.7504i	-78.8454+0.7504i	-58.1168+0.7504i	-94.3010+0.7504i
6.1833	-67.2136+0.7504i	-74.9975+0.7504i	-76.9190+0.7504i	-91.9868+0.7504i	-68.8053+0.7504i	-78.4167+0.7504i	-58.2327+0.7504i	-94.2264+0.7504i
6.2000	-67.4294+0.7504i	-75.3171+0.7504i	-76.9546+0.7504i	-91.9954+0.7504i	-68.7452+0.7504i	-78.0889+0.7504i	-58.3498+0.7504i	-94.1034+0.7504i
6.2167	-67.6353+0.7504i	-75.6628+0.7504i	-76.9817+0.7504i	-92.0026+0.7504i	-68.6670+0.7504i	-77.8654+0.7504i	-58.4683+0.7504i	-93.9455+0.7504i
6.2333	-67.8214+0.7504i	-76.0155+0.7504i	-76.9967+0.7504i	-92.0066+0.7504i	-68.5822+0.7504i	-77.7582+0.7504i	-58.5867+0.7504i	-93.7619+0.7504i
6.2500	-67.9687+0.7504i	-76.4181+0.7504i	-76.9987+0.7504i	-92.0066+0.7504i	-68.5215+0.7504i	-77.8010+0.7504i	-58.7029+0.7504i	-93.5632+0.7504i
6.2667	-68.0705+0.7504i	-76.8238+0.7504i	-76.9901+0.7504i	-92.0029+0.7504i	-68.5139+0.7504i	-78.0364+0.7504i	-58.8189+0.7504i	-93.3592+0.7504i
6.2833	-68.1137+0.7504i	-77.2135+0.7504i	-76.9755+0.7504i	-91.9970+0.7504i	-68.5727+0.7504i	-78.5047+0.7504i	-58.9461+0.7504i	-93.1526+0.7504i
6.3000	-68.0922+0.7504i	-77.5641+0.7504i	-76.9606+0.7504i	-91.9909+0.7504i	-68.6921+0.7504i	-79.2215+0.7504i	-59.0622+0.7504i	-92.9635+0.7504i
6.3167	-68.0118+0.7504i	-77.8602+0.7504i	-76.9493+0.7504i	-91.9865+0.7504i	-68.8555+0.7504i	-80.1536+0.7504i	-59.1059+0.7504i	-92.8312+0.7504i
6.3333	-67.8902+0.7504i	-78.0964+0.7504i	-76.9428+0.7504i	-91.9843+0.7504i	-69.0434+0.7504i	-81.2109+0.7504i	-59.1232+0.7504i	-92.7241+0.7504i
6.3500	-67.7524+0.7504i	-78.2755+0.7504i	-76.9399+0.7504i	-91.9837+0.7504i	-69.2225+0.7504i	-82.2620+0.7504i	-59.1024+0.7504i	-92.6467+0.7504i
6.3667	-67.6263+0.7504i	-78.3990+0.7504i	-76.9398+0.7504i	-91.9844+0.7504i	-69.3590+0.7504i	-83.1581+0.7504i	-59.1223+0.7504i	-92.5943+0.7504i
6.3833	-67.5277+0.7504i	-78.4726+0.7504i	-76.9430+0.7504i	-91.9868+0.7504i	-69.4408+0.7504i	-83.7593+0.7504i	-59.1258+0.7504i	-92.5547+0.7504i
6.4000	-67.4791+0.7504i	-78.4846+0.7504i	-76.9488+0.7504i	-91.9913+0.7504i	-69.4651+0.7504i	-83.9186+0.7504i	-59.1449+0.7504i	-92.5289+0.7504i
6.4167	-67.4833+0.7504i	-78.4424+0.7504i	-76.9569+0.7504i	-91.9978+0.7504i	-69.4431+0.7504i	-83.5872+0.7504i	-59.1780+0.7504i	-92.5161+0.7504i
6.4333	-67.5389+0.7504i	-78.3632+0.7504i	-76.9680+0.7504i	-92.0073+0.7504i	-69.3751+0.7504i	-82.8159+0.7504i	-59.2324+0.7504i	-92.5151+0.7504i
6.4500	-67.6486+0.7504i	-78.2650+0.7504i	-76.9837+0.7504i	-92.0212+0.7504i	-69.2553+0.7504i	-81.7354+0.7504i	-59.2789+0.7504i	-92.5218+0.7504i
6.4667	-67.7938+0.7504i	-78.1806+0.7504i	-77.0040+0.7504i	-92.0400+0.7504i	-69.0904+0.7504i	-80.5071+0.7504i	-59.2966+0.7504i	-92.5297+0.7504i
6.4833	-67.9843+0.7504i	-78.0976+0.7504i	-77.0284+0.7504i	-92.0637+0.7504i	-68.8734+0.7504i	-79.2674+0.7504i	-59.2896+0.7504i	-92.5340+0.7504i
6.5000	-68.2196+0.7504i	-77.9991+0.7504i	-77.0577+0.7504i	-92.0921+0.7504i	-68.5970+0.7504i	-78.1568+0.7504i	-59.2597+0.7504i	-92.5316+0.7504i
6.5167	-68.4982+0.7504i	-77.8689+0.7504i	-77.0925+0.7504i	-92.1233+0.7504i	-68.2598+0.7504i	-77.2780+0.7504i	-59.2445+0.7504i	-92.5315+0.7504i
6.5333	-68.8258+0.7504i	-77.7057+0.7504i	-77.1334+0.7504i	-92.1547+0.7504i	-67.8789+0.7504i	-76.6525+0.7504i	-59.1236+0.7504i	-92.5130+0.7504i
6.5500	-69.2104+0.7504i	-77.5199+0.7504i	-77.1796+0.7504i	-92.1843+0.7504i	-67.4826+0.7504i	-76.2324+0.7504i	-58.9631+0.7504i	-92.4908+0.7504i
6.5667	-69.6512+0.7504i	-77.3033+0.7504i	-77.2365+0.7504i	-92.2149+0.7504i	-67.0968+0.7504i	-75.9361+0.7504i	-58.7821+0.7504i	-92.4660+0.7504i
6.5833	-70.1230+0.7504i	-77.0308+0.7504i	-77.2852+0.7504i	-92.2461+0.7504i	-66.7476+0.7504i	-75.6879+0.7504i	-58.6053+0.7504i	-92.4387+0.7504i
6.6000	-70.5860+0.7504i	-76.6913+0.7504i	-77.3839+0.7504i	-92.3008+0.7504i	-66.4665+0.7504i	-75.4529+0.7504i	-58.4480+0.7504i	-92.4080+0.7504i
6.6167	-70.9909+0.7504i	-76.2964+0.7504i	-77.4790+0.7504i	-92.3857+0.7504i	-66.2879+0.7504i	-75.2260+0.7504i	-58.3140+0.7504i	-92.3729+0.7504i
6.6333	-71.3088+0.7504i	-75.8557+0.7504i	-77.5694+0.7504i	-92.5143+0.7504i	-66.2331+0.7504i	-75.0169+0.7504i	-58.1994+0.7504i	-92.3332+0.7504i
6.6500	-71.5225+0.7504i	-75.3948+0.7504i	-77.6574+0.7504i	-92.6915+0.7504i	-66.2879+0.7504i	-74.8376+0.7504i	-58.1032+0.7504i	-92.2914+0.7504i
6.6667	-71.5298+0.7504i	-75.0179+0.7504i	-77.7284+0.7504i	-92.8857+0.7504i	-66.4019+0.7504i	-74.6999+0.7504i	-58.0286+0.7504i	-92.2519+0.7504i
6.6833	-71.3295+0.7504i	-74.7318+0.7504i	-77.7787+0.7504i	-93.0879+0.7504i	-66.5209+0.7504i	-74.6266+0.7504i	-57.9771+0.7504i	-92.2180+0.7504i
6.7000	-70.9526+0.7504i	-74.5536+0.7504i	-77.8033+0.7504i	-93.2867+0.7504i	-66.6186+0.7504i	-74.6456+0.7504i	-57.9465+0.7504i	-92.1909+0.7504i
6.7167	-70.4741+0.7504i	-74.4845+0.7504i	-77.8002+0.7504i	-93.4682+0.7504i	-66.7017+0.7504i	-74.7809+0.7504i	-57.9327+0.7504i	-92.1697+0.7504i
6.7333	-69.9652+0.7504i	-74.5200+0.7504i	-77.7717+0.7504i	-93.6164+0.7504i	-66.7940+0.7504i	-75.0450+0.7504i	-57.9338+0.7504i	-92.1520+0.7504i
6.7500	-69.4875+0.7504i	-74.6539+0.7504i	-77.7244+0.7504i	-93.7174+0.7504i	-66.9138+0.7504i	-75.4308+0.7504i	-57.9521+0.7504i	-92.1357+0.7504i
6.7667	-69.0691+0.7504i	-74.8827+0.7504i	-77.6656+0.7504i	-93.7627+0.7504i	-67.0622+0.7504i	-75.9130+0.7504i	-57.9921+0.7504i	-92.1191+0.7504i
6.7833	-68.7075+0.7504i	-75.2020+0.7504i	-77.6007+0.7504i	-93.7508+0.7504i	-67.2417+0.7504i	-76.5281+0.7504i	-58.0547+0.7504i	-92.1057+0.7504i
6.8000	-68.3752+0.7504i	-75.6031+0.7504i	-77.5352+0.7504i	-93.6886+0.7504i	-67.4242+0.7504i	-77.2466+0.7504i	-58.1354+0.7504i	-92.0944+0.7504i
6.8167	-68.0643+0.7504i	-76.0643+0.7504i	-77.4747+0.7504i	-93.5884+0.7504i	-67.5897+0.7504i	-78.0656+0.7504i	-58.2273+0.7504i	-92.0852+0.7504i
6.8333	-67.7858+0.7504i	-76.5574+0.7504i	-77.4224+0.7504i	-93.4626+0.7504i	-67.7113+0.7504i	-78.9844+0.7504i	-58.3246+0.7504i	-92.0785+0.7504i
6.8500	-67.5575+0.7504i	-77.0672+0.7504i	-77.3775+0.7504i	-93.3204+0.7504i	-67.7624+0.7504i	-80.0005+0.7504i	-58.4251+0.7504i	-92.0747+0.7504i
6.8667	-67.3840+0.7504i	-77.5845+0.7504i	-77.3394+0.7504i	-93.1698+0.7504i	-67.7333+0.7504i	-81.0891+0.7504i	-58.5272+0.7504i	-92.0734+0.7504i
6.8833	-67.2602+0.7504i	-78.1001+0.7504i	-77.3081+0.7504i	-93.0169+0.7504i	-67.6404+0.7504i	-82.1816+0.7504i	-58.6256+0.7504i	-92.0726+0.7504i
6.9000	-67.1721+0.7504i	-78.5852+0.7504i	-77.2798+0.7504i	-92.8621+0.7504i	-67.5159+0.7504i	-83.1790+0.7504i	-58.7127+0.7504i	-92.0709+0.7504i
6.9167	-67.1060+0.7504i	-79.0095+0.7504i	-77.2500+0.7504i	-92.7070+0.7504i	-67.3922+0.7504i	-84.0021+0.7504i	-58.7861+0.7504i	-92.0684+0.7504i
6.9333	-67.0542+0.7504i	-79.3637+0.7504i	-77.2273+0.7504i	-92.5719+0.7504i	-67.2891+0.7504i	-84.6077+0.7504i	-58.8508+0.7504i	-92.0658+0.7504i
6.9500	-67.0122+0.7504i	-79.6493+0.7504i	-77.2110+0.7504i	-92.4554+0.7504i	-67.2172+0.7504i	-85.0215+0.7504i	-58.9131+0.7504i	-92.0636+0.7504i
6.9667	-66.9744+0.7504i	-79.8560+0.7504i	-77.1955+0.7504i	-92.3684+0.7504i	-67.1797+0.7504i	-85.3053+0.7504i	-58.9738+0.7504i	-92.0618+0.7504i
6.9833	-66.9374+0.7504i	-79.9599+0.7504i	-77.1780+0.7504i	-92.3027+0.7504i	-67.1786+0.7504i	-85.5026+0.7504i	-59.0317+0.7504i	-92.0614+0.7504i
7.0000	-66.9055+0.7504i	-79.9399+0.7504i	-77.1598+0.7504i	-92.2536+0.7504i	-67.2107+0.7504i	-85.6484+0.7504i	-59.0855+0.7504i	-92.0641+0.7504i
7.0167	-66.8752+0.7504i	-79.7803+0.7504i	-77.1405+0.7504i	-92.2197+0.7504i	-67.2803+0.7504i	-85.7790+0.7504i	-59.1377+0.7504i	-92.0715+0.7504i
7.0333	-66.8359+0.7504i	-79.4942+0.7504i	-77.1267+0.7504i	-92.2018+0.7504i	-67.3788+0.7504i	-85.9502+0.7504i	-59.1945+0.7504i	-92.0841+0.7504i
7.0500	-66.7888+0.7504i	-79.1191+0.7504i	-77.1200+0.7504i	-92.1982+0.7504i	-67.4846+0.7504i	-86.2061+0.7504i	-59.2617+0.7504i	-92.1011+0.7504i
7.0667	-66.7464+0.7504i	-78.7025+0.7504i	-77.1163+0.7504i	-92.2037+0.7504i	-67.5859+0.7504i	-86.4849+0.7504i	-59.3422+0.7504i	-92.1216+0.7504i
7.0833	-66.7240+0.7504i	-78.2767+0.7504i	-77.1096+0.7504i	-92.2117+0.7504i	-67.6854+0.7504i	-86.6785+0.7504i	-59.4338+0.7504i	-92.1453+0.7504i
7.1000	-66.7232+0.7504i	-77.8478+0.7504i	-77.0964+0.7504i	-92.2168+0.7504i	-67.7995+0.7504i	-86.7084+0.7504i	-59.5348+0.7504i	-92.1710+0.7504i
7.1167	-66.7236+0.7504i	-77.3978+0.7504i	-77.0759+0.7504i	-92.2147+0.7504i	-67.9423+0.7504i	-86.5661+0.7504i	-59.6202+0.7504i	-92.1985+0.7504i
7.1333	-66.7028+0.7504i	-76.9029+0.7504i	-77.0507+0.7504i	-92.2040+0.7504i	-68.1168+0.7504i	-86.3158+0.7504i	-59.6483+0.7504i	-92.2283+0.7504i
7.1500	-66.6570+0.7504i	-76.3569+0.7504i	-77.0244+0.7504i	-92.1860+0.7504i	-68.3176+0.7504i	-86.0277+0.7504i	-59.5919+0.7504i	-92.2552+0.7504i
7.1667	-66.6042+0.7504i	-75.7681+0.7504i	-76.9985+0.7504i	-92.1624+0.7504i	-68.5294+0.7504i	-85.7066+0.7504i	-59.4185+0.7504i	-92.3059+0.7504i
7.1833	-66.5676+0.7504i	-75.1633+0.7504i	-76.9720+0.7504i	-92.1354+0.7504i	-68.7253+0.7504i	-85.2876+0.7504i	-59.1684+0.7504i	-92.3917+0.7504i
7.2000	-66.5653+0.7504i	-74.5829+0.7504i	-76.9452+0.7504i	-92.1075+0.7504i	-68.8822+0.7504i	-84.7436+0.7504i	-58.8750+0.7504i	-92.5388+0.7504i
7.2167	-66.5963+0.7504i	-74.0746+0.7504i	-76.9200+0.7504i	-92.0815+0.7504i	-68.9904+0.7504i	-84.1191+0.7504i	-58.5323+0.7504i	-92.7951+0.7504i
7.2333	-66.6395+0.7504i	-73.6817+0.7504i	-76.8977+0.7504i	-92.0590+0.7504i	-69.0453+0.7504i	-83.4657+0.7504i	-58.2668+0.7504i	-93.0582+0.7504i
7.2500	-66.6628+0.7504i	-73.4322+0.7504i	-76.8804+0.7504i	-92.0410+0.7504i	-69.0475+0.7504i	-82.8055+0.7504i	-58.0716+0.7504i	-93.3148+0.7504i
7.2667	-66.6542+0.7504i	-73.3393+0.7504i	-76.8699+0.7504i	-92.0277+0.7504i	-69.0044+0.7504i	-82.1559+0.7504i	-57.9397+0.7504i	-93.5563+0.7504i
7.2833	-66.6230+0.7504i	-73.4054+0.7504i	-76.8678+0.7504i	-92.0214+0.7504i	-68.9306+0.7504i	-81.5532+0.7504i	-57.8659+0.7504i	-93.7830+0.7504i
7.3000	-66.5949+0.7504i	-73.6220+0.7504i	-76.8746+0.7504i	-92.0157+0.7504i	-68.8426+0.7504i	-81.1933+0.7504i	-57.8485+0.7504i	-93.9941+0.7504i
7.3167	-66.5906+0.7504i	-73.9692+0.7504i	-76.8908+0.7504i	-92.0129+0.7504i	-68.7577+0.7504i	-80.9126+0.7504i	-57.8807+0.7504i	-94.1770+0.7504i
7.3333	-66.6282+0.7504i	-74.4024+0.7504i	-76.9130+0.7504i	-92.0065+0.7504i	-68.6765+0.7504i	-80.7888+0.7504i	-57.9457+0.7504i	-94.3076+0.7504i
7.3500	-66.7243+0.7504i	-74.8579+0.7504i	-76.9410+0.7504i	-92.0069+0.7504i	-68.5938+0.7504i	-80.7964+0.7504i	-58.0214+0.7504i	-94.3609+0.7504i
7.3667	-66.8819+0.7504i	-75.2788+0.7504i	-76.9710+0.7504i	-92.0092+0.7504i	-68.5140+0.7504i	-80.9108+0.7504i	-58.0926+0.7504i	-94.3272+0.7504i
7.3833	-67.0825+0.7504i	-75.6370+0.7504i	-76.9984+0.7504i	-92.0119+0.7504i	-68.4450+0.7504i	-81.1227+0.7504i	-58.1575+0.7504i	-94.2200+0.7504i
7.4000	-67.2975+0.7504i	-75.9396+0.7504i	-77.0183+0.7504i	-92.0127+0.7504i	-68.3890+0.7504i	-81.4444+0.7504i	-58.2226+0.7504i	-94.0629+0.7504i
7.4167	-67.5003+0.7504i	-76.2050+0.7504i	-77.0285+0.7504i	-92.0112+0.7504i	-68.3457+0.7504i	-81.8779+0.7504i	-58.2937+0.7504i	-93.8772+0.7504i
7.4333	-67.6639+0.7504i	-76.4636+0.7504i	-77.0301+0.7504i	-92.0084+0.7504i	-68.3240+0.7504i	-82.3833+0.7504i	-58.3714+0.7504i	-93.6800+0.7504i
7.4500	-67.7718+0.7504i	-76.7087+0.7504i	-77.0253+0.7504i	-92.0050+0.7504i	-68.3316+0.7504i	-82.8931+0.7504i	-58.4533+0.7504i	-93.4845+0.7504i
7.4667	-67.8109+0.7504i	-77.0072+0.7504i	-77.0165+0.7504i	-92.0014+0.7504i	-68.3722+0.7504i	-83.3407+0.7504i	-58.5420+0.7504i	-93.2978+0.7504i
7.4833	-67.8037+0.7504i	-77.2987+0.7504i	-77.0068+0.7504i	-91.9986+0.7504i	-68.4456+0.7504i	-83.6693+0.7504i	-58.6545+0.7504i	-93.1131+0.7504i
7.5000	-67.7762+0.7504i	-77.5783+0.7504i	-76.9991+0.7504i	-91.9971+0.7504i	-68.5426+0.7504i	-83.8513+0.7504i	-58.7364+0.7504i	-92.9660+0.7504i
7.5167	-67.7446+0.7504i	-77.8443+0.7504i	-76.9950+0.7504i	-91.9968+0.7504i	-68.6357+0.7504i	-83.9010+0.7504i	-58.7723+0.7504i	-92.8571+0.7504i
7.5333	-67.7162+0.7504i	-78.0836+0.7504i	-76.9948+0.7504i	-91.9970+0.7504i	-68.7013+0.7504i	-83.8566+0.7504i	-58.7838+0.7504i	-92.7659+0.7504i
7.5500	-67.6832+0.7504i	-78.2785+0.7504i	-76.9989+0.7504i	-91.9975+0.7504i	-68.7390+0.7504i	-83.7361+0.7504i	-58.7704+0.7504i	-92.6925+0.7504i
7.5667	-67.6647+0.7504i	-78.3979+0.7504i	-77.0073+0.7504i	-91.9996+0.7504i	-68.7556+0.7504i	-83.4998+0.7504i	-58.8168+0.7504i	-92.6595+0.7504i
7.5833	-67.6771+0.7504i	-78.4499+0.7504i	-77.0196+0.7504i	-92.0046+0.7504i	-68.7630+0.7504i	-83.0834+0.7504i	-58.8157+0.7504i	-92.6321+0.7504i
7.6000	-67.7261+0.7504i	-78.4705+0.7504i	-77.0340+0.7504i	-92.0127+0.7504i	-68.7526+0.7504i	-82.4498+0.7504i	-58.8071+0.7504i	-92.6164+0.7504i
7.6167	-67.8036+0.7504i	-78.5012+0.7504i	-77.0476+0.7504i	-92.0230+0.7504i	-68.6954+0.7504i	-81.6285+0.7504i	-58.7877+0.7504i	-92.6098+0.7504i
7.6333	-67.8960+0.7504i	-78.5603+0.7504i	-77.0598+0.7504i	-92.0351+0.7504i	-68.5674+0.7504i	-80.7192+0.7504i	-58.7536+0.7504i	-92.6098+0.7504i
7.6500	-67.9958+0.7504i	-78.6423+0.7504i	-77.0725+0.7504i	-92.0498+0.7504i	-68.3821+0.7504i	-79.8457+0.7504i	-58.7190+0.7504i	-92.6115+0.7504i
7.6667	-68.0984+0.7504i	-78.7231+0.7504i	-77.0890+0.7504i	-92.0681+0.7504i	-68.1734+0.7504i	-79.0964+0.7504i	-58.6663+0.7504i	-92.6124+0.7504i
7.6833	-68.1943+0.7504i	-78.7756+0.7504i	-77.1135+0.7504i	-92.0912+0.7504i	-67.9687+0.7504i	-78.4975+0.7504i	-58.6062+0.7504i	-92.6099+0.7504i
7.7000	-68.3053+0.7504i	-78.7514+0.7504i	-77.1492+0.7504i	-92.1202+0.7504i	-67.7650+0.7504i	-78.0231+0.7504i	-58.5461+0.7504i	-92.6034+0.7504i
7.7167	-68.4615+0.7504i	-78.6395+0.7504i	-77.1956+0.7504i	-92.1544+0.7504i	-67.5562+0.7504i	-77.6322+0.7504i	-58.4776+0.7504i	-92.5939+0.7504i
7.7333	-68.6885+0.7504i	-78.4623+0.7504i	-77.2503+0.7504i	-92.1923+0.7504i	-67.3471+0.7504i	-77.2868+0.7504i	-58.4078+0.7504i	-92.5871+0.7504i
7.7500	-69.0051+0.7504i	-78.2347+0.7504i	-77.3133+0.7504i	-92.2340+0.7504i	-67.1380+0.7504i	-76.9445+0.7504i	-58.2562+0.7504i	-92.5700+0.7504i
7.7667	-69.4049+0.7504i	-77.9551+0.7504i	-77.3716+0.7504i	-92.2762+0.7504i	-66.9259+0.7504i	-76.5840+0.7504i	-58.0752+0.7504i	-92.5485+0.7504i
7.7833	-69.8417+0.7504i	-77.6150+0.7504i	-77.4549+0.7504i	-92.3238+0.7504i	-66.7110+0.7504i	-76.2072+0.7504i	-57.8902+0.7504i	-92.5205+0.7504i
7.8000	-70.2504+0.7504i	-77.2121+0.7504i	-77.5542+0.7504i	-92.4046+0.7504i	-66.5127+0.7504i	-75.8451+0.7504i	-57.7247+0.7504i	-92.4859+0.7504i
7.8167	-70.6126+0.7504i	-76.7395+0.7504i	-77.6581+0.7504i	-92.5275+0.7504i	-66.3777+0.7504i	-75.5408+0.7504i	-57.5893+0.7504i	-92.4477+0.7504i
7.8333	-70.8393+0.7504i	-76.3573+0.7504i	-77.7636+0.7504i	-92.7110+0.7504i	-66.3466+0.7504i	-75.3355+0.7504i	-57.4828+0.7504i	-92.4100+0.7504i
7.8500	-70.9174+0.7504i	-76.0474+0.7504i	-77.8452+0.7504i	-92.9156+0.7504i	-66.4181+0.7504i	-75.2499+0.7504i	-57.4003+0.7504i	-92.3767+0.7504i
7.8667	-70.8319+0.7504i	-75.8089+0.7504i	-77.8985+0.7504i	-93.1227+0.7504i	-66.5419+0.7504i	-75.2812+0.7504i	-57.3374+0.7504i	-92.3509+0.7504i
7.8833	-70.6070+0.7504i	-75.6362+0.7504i	-77.9219+0.7504i	-93.3111+0.7504i	-66.6588+0.7504i	-75.4194+0.7504i	-57.2902+0.7504i	-92.3336+0.7504i
7.9000	-70.2923+0.7504i	-75.5469+0.7504i	-77.9170+0.7504i	-93.4689+0.7504i	-66.7393+0.7504i	-75.6499+0.7504i	-57.2547+0.7504i	-92.3234+0.7504i
7.9167	-69.9422+0.7504i	-75.5718+0.7504i	-77.8874+0.7504i	-93.5970+0.7504i	-66.7943+0.7504i	-75.9636+0.7504i	-57.2281+0.7504i	-92.3170+0.7504i
7.9333	-69.6000+0.7504i	-75.7377+0.7504i	-77.8369+0.7504i	-93.6992+0.7504i	-66.8452+0.7504i	-76.3377+0.7504i	-57.2119+0.7504i	-92.3116+0.7504i
7.9500	-69.2845+0.7504i	-76.0402+0.7504i	-77.7698+0.7504i	-93.7706+0.7504i	-66.9151+0.7504i	-76.8228+0.7504i	-57.2097+0.7504i	-92.3066+0.7504i
7.9667	-68.9797+0.7504i	-76.4611+0.7504i	-77.6914+0.7504i	-93.7975+0.7504i	-67.0061+0.7504i	-77.3898+0.7504i	-57.2270+0.7504i	-92.3024+0.7504i
7.9833	-68.6724+0.7504i	-76.9704+0.7504i	-77.6072+0.7504i	-93.7688+0.7504i	-67.1237+0.7504i	-78.0498+0.7504i	-57.2662+0.7504i	-92.2996+0.7504i
8.0000	-68.3555+0.7504i	-77.5330+0.7504i	-77.5219+0.7504i	-93.6850+0.7504i	-67.2659+0.7504i	-78.8355+0.7504i	-57.3256+0.7504i	-92.2974+0.7504i
8.0167	-68.0375+0.7504i	-78.1186+0.7504i	-77.4404+0.7504i	-93.5586+0.7504i	-67.4132+0.7504i	-79.7721+0.7504i	-57.3982+0.7504i	-92.2939+0.7504i
