Time (seconds)	Synchronized Synthetic MI Data (dB)	
6.2320	-33.3192+0.7897i
6.2653	-32.1859+0.7897i
6.2986	-31.3756+0.7897i
6.3320	-31.2184+0.7897i
6.3653	-31.2878+0.7897i
6.3986	-31.5337+0.7897i
6.4319	-32.0957+0.7897i
6.4653	-32.5602+0.7897i
6.4986	-32.9081+0.7897i
6.5319	-33.1455+0.7897i
6.5652	-33.2677+0.7897i
6.5986	-33.3716+0.7897i
6.6319	-33.4330+0.7897i
6.6652	-33.5723+0.7897i
6.6985	-33.8828+0.7896i
6.7319	-34.4210+0.7896i
6.7652	-35.1566+0.7896i
6.7985	-36.0181+0.7896i
6.8319	-37.2023+0.7896i
6.8652	-38.5598+0.7896i
6.8985	-40.1416+0.7896i
6.9318	-41.6635+0.7896i
6.9652	-43.0859+0.7896i
6.9985	-44.3685+0.7896i
7.0318	-45.4933+0.7896i
7.0651	-46.4010+0.7896i
7.0985	-47.0702+0.7896i
7.1318	-47.4152+0.7896i
7.1651	-47.5170+0.7896i
7.1984	-47.4922+0.7896i
7.2318	-47.4600+0.7896i
7.2651	-47.4514+0.7896i
7.2984	-47.4737+0.7896i
7.3317	-47.5144+0.7896i
7.3651	-47.5317+0.7896i
7.3984	-47.5482+0.7896i
7.4317	-47.5591+0.7896i
7.4651	-47.5855+0.7896i
7.4984	-47.6576+0.7896i
7.5317	-47.7134+0.7896i
7.5650	-47.7929+0.7896i
7.5984	-47.8797+0.7896i
7.6317	-48.0052+0.7896i
7.6650	-48.1227+0.7896i
7.6983	-48.2181+0.7896i
7.7317	-48.2810+0.7896i
7.7650	-48.3101+0.7896i
7.7983	-48.3078+0.7896i
7.8316	-48.2176+0.7896i
7.8650	-48.1590+0.7896i
7.8983	-48.0724+0.7896i
7.9316	-48.0078+0.7896i
7.9649	-48.0220+0.7896i
7.9983	-48.0434+0.7896i
8.0316	-48.1235+0.7896i
8.0649	-48.2047+0.7896i
8.0982	-48.2978+0.7896i
8.1316	-48.3880+0.7896i
8.1649	-48.5006+0.7896i
8.1982	-48.6191+0.7896i
8.2316	-48.6967+0.7896i
8.2649	-48.7729+0.7896i
8.2982	-48.8305+0.7896i
8.3315	-48.8726+0.7896i
8.3649	-48.9541+0.7896i
8.3982	-49.0241+0.7896i
8.4315	-49.1870+0.7896i
8.4648	-49.3742+0.7896i
8.4982	-49.5512+0.7896i
8.5315	-49.8866+0.7896i
8.5648	-50.1517+0.7896i
8.5981	-50.3382+0.7896i
8.6315	-50.4813+0.7896i
8.6648	-50.6455+0.7896i
8.6981	-50.7029+0.7896i
8.7314	-50.8754+0.7896i
8.7648	-50.9837+0.7896i
8.7981	-51.0618+0.7896i
8.8314	-51.0649+0.7896i
8.8647	-51.1017+0.7896i
8.8981	-51.0721+0.7896i
8.9314	-51.0591+0.7896i
8.9647	-51.0116+0.7896i
8.9981	-50.9402+0.7896i
9.0314	-50.8037+0.7896i
9.0647	-50.6158+0.7896i
9.0980	-50.4448+0.7896i
9.1314	-50.2729+0.7896i
9.1647	-50.0984+0.7896i
9.1980	-49.9027+0.7896i
9.2313	-49.7232+0.7896i
9.2647	-49.5220+0.7896i
9.2980	-49.3375+0.7896i
9.3313	-49.1842+0.7896i
9.3646	-49.0525+0.7896i
9.3980	-48.9897+0.7896i
9.4313	-48.9469+0.7896i
9.4646	-48.9108+0.7896i
9.4979	-48.8012+0.7896i
9.5313	-48.6966+0.7896i
