Time (seconds)	Synchronized Synthetic MI Data (dB)	
27.0608	-41.0016+0.7896i
27.0941	-40.2670+0.7896i
27.1275	-39.7567+0.7896i
27.1608	-39.3920+0.7896i
27.1941	-39.2048+0.7896i
27.2274	-39.2034+0.7896i
27.2608	-39.2576+0.7896i
27.2941	-39.6335+0.7896i
27.3274	-40.1308+0.7896i
27.3607	-40.7627+0.7896i
27.3941	-41.5616+0.7896i
27.4274	-42.5873+0.7896i
27.4607	-43.7420+0.7896i
27.4940	-45.0140+0.7896i
27.5274	-46.3356+0.7896i
27.5607	-47.7483+0.7896i
27.5940	-49.1203+0.7896i
27.6274	-50.3633+0.7896i
27.6607	-51.6050+0.7896i
27.6940	-52.6652+0.7896i
27.7273	-53.4076+0.7896i
27.7607	-53.7736+0.7896i
27.7940	-53.8492+0.7896i
27.8273	-53.8534+0.7896i
27.8606	-53.5864+0.7896i
27.8940	-53.2411+0.7896i
27.9273	-52.8875+0.7896i
27.9606	-52.5241+0.7896i
27.9939	-52.2242+0.7896i
28.0273	-52.0209+0.7896i
28.0606	-51.9707+0.7896i
28.0939	-51.9944+0.7896i
28.1272	-52.1156+0.7896i
28.1606	-52.2475+0.7896i
28.1939	-52.3900+0.7896i
28.2272	-52.5429+0.7896i
28.2605	-52.7062+0.7896i
28.2939	-52.8797+0.7896i
28.3272	-53.0631+0.7896i
28.3605	-53.1824+0.7896i
28.3939	-53.3321+0.7896i
28.4272	-53.5126+0.7896i
28.4605	-53.7245+0.7896i
28.4938	-53.9682+0.7896i
28.5272	-54.2439+0.7896i
28.5605	-54.5521+0.7896i
28.5938	-54.8930+0.7896i
28.6271	-55.2669+0.7896i
28.6605	-55.5712+0.7896i
28.6938	-56.0003+0.7896i
28.7271	-56.5114+0.7896i
28.7604	-57.0349+0.7896i
28.7938	-57.6677+0.7896i
28.8271	-58.3551+0.7896i
28.8604	-59.1240+0.7896i
28.8937	-59.7772+0.7896i
28.9271	-60.4367+0.7896i
28.9604	-61.0456+0.7896i
28.9937	-61.5233+0.7896i
29.0270	-61.7780+0.7896i
29.0604	-61.7345+0.7896i
29.0937	-61.3870+0.7896i
29.1270	-60.8679+0.7896i
29.1604	-60.1701+0.7896i
29.1937	-59.2076+0.7896i
29.2270	-58.5537+0.7896i
29.2603	-58.3122+0.7896i
29.2937	-58.3235+0.7896i
29.3270	-58.6075+0.7896i
29.3603	-59.4826+0.7896i
29.3936	-60.7408+0.7896i
29.4270	-61.3334+0.7896i
29.4603	-61.6285+0.7896i
29.4936	-61.5918+0.7896i
29.5269	-61.4468+0.7896i
29.5603	-61.1427+0.7896i
29.5936	-60.6560+0.7896i
29.6269	-60.0889+0.7896i
29.6602	-59.5122+0.7896i
29.6936	-58.8219+0.7896i
29.7269	-58.0744+0.7896i
29.7602	-57.2990+0.7896i
29.7936	-56.4888+0.7896i
29.8269	-55.6950+0.7896i
29.8602	-54.7872+0.7896i
29.8935	-53.8092+0.7896i
29.9269	-52.8329+0.7896i
29.9602	-51.9069+0.7896i
29.9935	-51.0796+0.7896i
30.0268	-50.3867+0.7896i
30.0602	-50.0040+0.7896i
30.0935	-49.7578+0.7896i
30.1268	-49.6450+0.7896i
30.1601	-49.5920+0.7896i
30.1935	-49.6693+0.7896i
30.2268	-49.8711+0.7896i
30.2601	-50.0271+0.7896i
30.2934	-50.1971+0.7896i
30.3268	-50.4039+0.7896i
30.3601	-50.4521+0.7896i
30.3934	-50.5637+0.7896i
30.4267	-50.5641+0.7896i
