Time (seconds)	Synchronized Synthetic MI Data (S_21 (dB))	
27.0609	-42.7586+0.7896i
27.0942	-43.1983+0.7896i
27.1275	-43.6577+0.7896i
27.1608	-44.1196+0.7896i
27.1942	-44.5954+0.7896i
27.2275	-45.1327+0.7896i
27.2608	-45.6534+0.7896i
27.2942	-46.2402+0.7896i
27.3275	-46.8093+0.7896i
27.3608	-47.2757+0.7896i
27.3941	-47.5806+0.7896i
27.4275	-47.6510+0.7896i
27.4608	-47.5999+0.7896i
27.4941	-47.5853+0.7896i
27.5274	-47.5440+0.7896i
27.5608	-47.5084+0.7896i
27.5941	-47.4179+0.7896i
27.6274	-47.3367+0.7896i
27.6607	-47.2523+0.7896i
27.6941	-47.1466+0.7896i
27.7274	-47.0360+0.7896i
27.7607	-46.9035+0.7896i
27.7940	-46.7822+0.7896i
27.8274	-46.6050+0.7896i
27.8607	-46.3498+0.7896i
27.8940	-46.0057+0.7896i
27.9274	-45.5990+0.7896i
27.9607	-45.1816+0.7896i
27.9940	-44.8049+0.7896i
28.0273	-44.4134+0.7896i
28.0607	-44.0620+0.7896i
28.0940	-43.7073+0.7896i
28.1273	-43.3188+0.7896i
28.1606	-42.9001+0.7896i
28.1940	-42.4283+0.7896i
28.2273	-41.9094+0.7896i
28.2606	-41.3058+0.7896i
28.2939	-40.6369+0.7896i
28.3273	-39.9275+0.7896i
28.3606	-39.2488+0.7896i
28.3939	-38.5820+0.7896i
28.4272	-37.9904+0.7896i
28.4606	-37.5678+0.7896i
28.4939	-37.2390+0.7896i
28.5272	-36.9853+0.7896i
28.5605	-36.7607+0.7896i
28.5939	-36.5053+0.7896i
28.6272	-36.2599+0.7896i
28.6605	-36.2138+0.7896i
28.6939	-36.1816+0.7896i
28.7272	-36.2041+0.7896i
28.7605	-36.1659+0.7896i
28.7938	-36.1886+0.7896i
28.8272	-36.2070+0.7896i
28.8605	-36.3842+0.7896i
28.8938	-36.8017+0.7896i
28.9271	-37.2126+0.7896i
28.9605	-37.6277+0.7896i
28.9938	-38.1573+0.7896i
29.0271	-38.7558+0.7896i
29.0604	-39.3590+0.7896i
29.0938	-39.9791+0.7896i
29.1271	-40.5640+0.7896i
29.1604	-41.0955+0.7896i
29.1937	-41.5592+0.7896i
29.2271	-41.9742+0.7896i
29.2604	-42.3540+0.7896i
29.2937	-42.7202+0.7896i
29.3271	-43.1220+0.7896i
29.3604	-43.5573+0.7896i
29.3937	-44.0063+0.7896i
29.4270	-44.4853+0.7896i
29.4604	-44.9657+0.7896i
29.4937	-45.4320+0.7896i
29.5270	-45.7550+0.7896i
29.5603	-46.0751+0.7896i
29.5937	-46.3925+0.7896i
29.6270	-46.7072+0.7896i
29.6603	-47.0190+0.7896i
29.6936	-47.3281+0.7896i
29.7270	-47.3322+0.7896i
29.7603	-47.3095+0.7896i
29.7936	-47.3263+0.7896i
29.8269	-47.3385+0.7896i
29.8603	-47.3367+0.7896i
29.8936	-47.3213+0.7896i
29.9269	-47.2964+0.7896i
29.9602	-47.2705+0.7896i
29.9936	-47.2139+0.7896i
30.0269	-47.1930+0.7896i
30.0602	-47.1712+0.7896i
30.0936	-47.1561+0.7896i
30.1269	-47.1344+0.7896i
30.1602	-47.1169+0.7896i
30.1935	-47.1123+0.7896i
30.2269	-47.1072+0.7896i
30.2602	-47.1197+0.7896i
30.2935	-47.1078+0.7896i
30.3268	-47.1093+0.7896i
30.3602	-47.1105+0.7896i
30.3935	-47.0998+0.7896i
30.4268	-47.1079+0.7896i
30.4601	-47.1082+0.7896i
